Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,GeoCode,Value
2014,FP_CPI_TOTL_ZG,,IX,A,0,2023,KNBS,Base; Feb 2019=100,,149.7
2015,FP_CPI_TOTL_ZG,,IX,A,0,2023,KNBS,Base; Feb 2019=100,,159.6
2016,FP_CPI_TOTL_ZG,,IX,A,0,2023,KNBS,Base; Feb 2019=100,,86.7
2017,FP_CPI_TOTL_ZG,,IX,A,0,2023,KNBS,Base; Feb 2019=100,,93.6
2018,FP_CPI_TOTL_ZG,,IX,A,0,2023,KNBS,Base; Feb 2019=100,,98.0
2019,FP_CPI_TOTL_ZG,,IX,A,0,2023,KNBS,Base; Feb 2019=100,,103.2
2020,FP_CPI_TOTL_ZG,,IX,A,0,2023,KNBS,Base; Feb 2019=100,,108.7
2021,FP_CPI_TOTL_ZG,,IX,A,0,2023,KNBS,Base; Feb 2019=100,,115.3
2022,FP_CPI_TOTL_ZG,,IX,A,0,2023,KNBS,Base; Feb 2019=100,,124.2
2023,FP_CPI_TOTL_ZG,,IX,A,0,2023,KNBS,Base; Feb 2019=100,,133.7
2014,GC_TAX_TOTL_GD_ZS,,PT,A,0,2023,Economic Survey,NationalTax revenue. GDP at Current Market price,,15.2
2015,GC_TAX_TOTL_GD_ZS,,PT,A,0,2023,Economic Survey,NationalTax revenue. GDP at Current Market price,,14.8
2016,GC_TAX_TOTL_GD_ZS,,PT,A,0,2023,Economic Survey,NationalTax revenue. GDP at Current Market price,,15.6
2017,GC_TAX_TOTL_GD_ZS,,PT,A,0,2023,Economic Survey,NationalTax revenue. GDP at Current Market price,,15.9
2018,GC_TAX_TOTL_GD_ZS,,PT,A,0,2023,Economic Survey,NationalTax revenue. GDP at Current Market price,,15.1
2019,GC_TAX_TOTL_GD_ZS,,PT,A,0,2023,Economic Survey,NationalTax revenue. GDP at Current Market price,,16.5
2020,GC_TAX_TOTL_GD_ZS,,PT,A,0,2023,Economic Survey,NationalTax revenue. GDP at Current Market price,,15.0
2021,GC_TAX_TOTL_GD_ZS,,PT,A,0,2023,Economic Survey,NationalTax revenue. GDP at Current Market price,,15.2
2022,GC_TAX_TOTL_GD_ZS,,PT,A,0,2023,Economic Survey,NationalTax revenue. GDP at Current Market price,,14.6
2023,GC_TAX_TOTL_GD_ZS,,PT,A,0,2023,Economic Survey,NationalTax revenue. GDP at Current Market price,,13.6
2014,NE_CON_GOVT_KD_ZG,,PT,A,0,2023,Economic Survey,,,3.8
2015,NE_CON_GOVT_KD_ZG,,PT,A,0,2023,Economic Survey,,,13.6
