Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2020,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,2022,,3.8
2021,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,2022,,1.0
2022,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,2022,,2.1
2014,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,2022,,5.8
2016,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,2022,,1.9
2019,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,2022,,0.8
2020,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,2022,,2.5
2021,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,2022,,1.5
2022,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,2022,,0.9
2014,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,2022,,7.0
2016,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,2022,,1.6
2019,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,2022,,0.3
2020,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,2022,,0.7
2021,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,2022,,0.0
2022,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,2022,,1.7
2014,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,2022,,9.4
2016,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,2022,,9.6
2019,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,2022,,4.5
2020,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,2022,,7.2
2021,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,2022,,6.9
2022,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,2022,,7.2
2014,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,2022,,9.9
2016,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,2022,,5.3
2019,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,2022,,4.6
2020,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,2022,,5.5
2021,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,2022,,3.6
2022,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,2022,,4.5
