Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,GeoCode,Value
2023,Normal value,Units,2015: Uwezo Kenya Sixth Learning Assessment Report,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Reading,Percent,2023,,81.8
2018,Normal value,Units,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Lower secondary education,Skill: Mathematics,Percent,2018,,4.3
2018,Normal value,Units,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Lower secondary education,Skill: Reading,Percent,2018,,43.5
2017,Normal value,Units,Basic Education Statistics Booklet,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,2023,,49.6
2018,Normal value,Units,Basic Education Statistics Booklet,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,2023,,42.1
2019,Normal value,Units,Basic Education Statistics Booklet,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,2023,,47.7
2020,Normal value,Units,Basic Education Statistics Booklet,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,2023,,52.2
2023,Normal value,Units,Basic Education Statistics Booklet,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,2023,,37.9
2017,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,47.8
2018,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,54.8
2019,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,53.5
2020,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,53.8
2023,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,27.2
2015,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Mathematics,Percent,2023,,45.2
2017,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Mathematics,Percent,2023,,69.8
2018,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Mathematics,Percent,2023,,67.7
2019,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Mathematics,Percent,2023,,76.1
2023,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Mathematics,Percent,2023,,87.6
2015,Normal value,Units,2015: Uwezo Kenya Sixth Learning Assessment Report,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Reading,Percent,2023,,36.3
2018,Normal value,Units,2015: Uwezo Kenya Sixth Learning Assessment Report,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Reading,Percent,2023,,47.4
2023,Normal value,Units,2015: Uwezo Kenya Sixth Learning Assessment Report,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Reading,Percent,2023,,75.1
2018,Normal value,Units,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Lower secondary education,Skill: Mathematics,Percent,2018,,8.0
2018,Normal value,Units,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Lower secondary education,Skill: Reading,Percent,2018,,36.3
2017,Normal value,Units,Basic Education Statistics Booklet,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,2023,,52.7
2018,Normal value,Units,Basic Education Statistics Booklet,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,2023,,44.1
2019,Normal value,Units,Basic Education Statistics Booklet,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,2023,,50.8
2020,Normal value,Units,Basic Education Statistics Booklet,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,2023,,57.6
2023,Normal value,Units,Basic Education Statistics Booklet,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,2023,,36.0
2017,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,47.4
2018,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,54.6
2019,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,53.8
2020,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,53.2
2023,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,23.9
