Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2020,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,,58.4
2021,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,,59.4
2022,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,,57.6
2023,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,,62.7
2024,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,,62.0
2014,Annual growth of the gross capital formation (%) [17.13.1],,Percent,,19.9
2015,Annual growth of the gross capital formation (%) [17.13.1],,Percent,,0.1
2016,Annual growth of the gross capital formation (%) [17.13.1],,Percent,,-3.9
2017,Annual growth of the gross capital formation (%) [17.13.1],,Percent,,12.0
2018,Annual growth of the gross capital formation (%) [17.13.1],,Percent,,-2.3
2019,Annual growth of the gross capital formation (%) [17.13.1],,Percent,,5.3
2020,Annual growth of the gross capital formation (%) [17.13.1],,Percent,,2.2
2021,Annual growth of the gross capital formation (%) [17.13.1],,Percent,,13.4
2022,Annual growth of the gross capital formation (%) [17.13.1],,Percent,,-2.6
2023,Annual growth of the gross capital formation (%) [17.13.1],,Percent,,-5.5
2024,Annual growth of the gross capital formation (%) [17.13.1],,Percent,,7.3
2014,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,,4.3
2015,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,,6.1
2016,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,,4.5
2017,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,,4.9
2018,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,,4.7
2019,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,,5.0
2020,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,,-1.8
2021,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,,6.1
